,Rank,Title,Score,popularity,Members,Type,Episodes,Genre,Demographic,Start Date,End Date,Image,Link,Start Year,End Year
109,110,Nana,8.54,312,639376,TV,47,"['Drama', 'Romance']",Shoujo,2006-01-04,2007-01-03,https://cdn.myanimelist.net/r/100x140/images/anime/2/11232.jpg?s=334cc9f98f86878b24f8e68d98bb577a,https://myanimelist.net/anime/877/Nana,2006,2007.0
110,111,Perfect Blue,8.54,285,680072,Movie,1,"['Avant Garde', 'Drama', 'Horror']",,1998-01-02,1998-01-02,https://cdn.myanimelist.net/r/100x140/images/anime/1254/134212.jpg?s=5e5815a8394afb2189641f7243325c22,https://myanimelist.net/anime/437/Perfect_Blue,1998,1998.0
111,112,Shingeki no Kyojin,8.54,1,3827766,TV,25,"['Action', 'Award Winning', 'Drama', 'Suspense']",Shounen,2013-01-04,2013-01-09,https://cdn.myanimelist.net/r/100x140/images/anime/10/47347.jpg?s=c0158a943fa688ba91aec8de995f21e4,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin,2013,2013.0
112,113,Shoujo☆Kageki Revue Starlight Movie,8.54,4950,17718,Movie,1,['Drama'],,2021-01-06,2021-01-06,https://cdn.myanimelist.net/r/100x140/images/anime/1655/114440.jpg?s=8bc5d72a0b090e09496c5e4716a23aac,https://myanimelist.net/anime/40664/Shoujo☆Kageki_Revue_Starlight_Movie,2021,2021.0
113,114,Slam Dunk,8.54,800,291530,TV,101,['Sports'],Shounen,1993-01-10,1996-01-03,https://cdn.myanimelist.net/r/100x140/images/anime/12/86890.jpg?s=68c1248de6c3a3ad77c5adccbdc280dc,https://myanimelist.net/anime/170/Slam_Dunk,1993,1996.0
114,115,Mushishi: Hihamukage,8.53,1589,136170,Special,1,"['Adventure', 'Mystery', 'Slice of Life', 'Supernatural']",Seinen,2014-01-01,2014-01-01,https://cdn.myanimelist.net/r/100x140/images/anime/10/59315.jpg?s=6b7d8b9ae27625a1e8068237b02917c1,https://myanimelist.net/anime/21329/Mushishi__Hihamukage,2014,2014.0
115,116,Ousama Ranking,8.53,339,607470,TV,23,"['Adventure', 'Fantasy']",,2021-01-10,2022-01-03,https://cdn.myanimelist.net/r/100x140/images/anime/1347/117616.jpg?s=257c693826e93a41cf813cc359670261,https://myanimelist.net/anime/40834/Ousama_Ranking,2021,2022.0
116,117,Bakuman. 3rd Season,8.53,700,325229,TV,25,"['Comedy', 'Drama', 'Romance']",Shounen,2012-01-10,2013-01-03,https://cdn.myanimelist.net/r/100x140/images/anime/6/41845.jpg?s=d2b34780fb43e3d236a1704a18f0e61a,https://myanimelist.net/anime/12365/Bakuman_3rd_Season,2012,2013.0
117,118,Steins;Gate 0,8.53,195,848577,TV,23,"['Drama', 'Sci-Fi', 'Suspense']",,2018-01-04,2018-01-09,https://cdn.myanimelist.net/r/100x140/images/anime/1375/93521.jpg?s=6635226aadd95fb36b3b5926402481d6,https://myanimelist.net/anime/30484/Steins_Gate_0,2018,2018.0
118,119,Yuru Camp△ Season 2,8.53,1094,212950,TV,13,['Slice of Life'],,2021-01-01,2021-01-04,https://cdn.myanimelist.net/r/100x140/images/anime/1255/110636.jpg?s=9638dfa2cc8f524429b968b56c52d2e3,https://myanimelist.net/anime/38474/Yuru_Camp△_Season_2,2021,2021.0
